id,name,level,parentId
699837d7248b769c43110217,"Ear Wax Removal Sprays.",3,699837d6248b769c43110208
699837d8248b769c43110229,"Antibacterial Drops (OTC).",3,699837d7248b769c4311021a
699837d9248b769c4311023b,"Padded Blackout Masks.",3,699837d8248b769c4311022c
699837d9248b769c4311024d,"Travel-size Solution.",3,699837d9248b769c4311023e
699837db248b769c43110265,"Laser Safety Glasses.",3,699837da248b769c43110250
699837dc248b769c43110277,"Portable Mini Inhaler Units.",3,699837db248b769c4311026b
699837dd248b769c4311028c,"Volumetric Incentive Spirometer.",3,699837dc248b769c4311027a
699837df248b769c431102b0,"Nebulizer Carry Bag.",3,699837dd248b769c4311028f
699837e0248b769c431102c5,"Windmill Type Flow Meter.",3,699837df248b769c431102b3
699837e2248b769c431102e0,"Essential Oil Diffuser (Humidifying).",3,699837e0248b769c431102cb
699837e3248b769c431102f3,"Incentive Spirometers.",3,699837e2248b769c431102e3
699837e4248b769c43110314,"Portable Travel CPAP Machine.",3,699837e3248b769c431102f6
699837e5248b769c4311032c,"Replacement Silicone Masks.",3,699837e4248b769c43110317
699837e7248b769c43110341,"Menthol/Eucalyptus Steam Tablets.",3,699837e6248b769c4311032f
699837e8248b769c43110359,"Fertility Monitoring Apps/Kits.",3,699837e7248b769c43110347
699837e9248b769c43110371,"Chikungunya Card.",3,699837e8248b769c4311035c
699837ea248b769c43110386,"Male Fertility/Sperm Count Home Kit.",3,699837e9248b769c43110374
699837eb248b769c43110394,"Early Detection Kits.",3,699837ea248b769c43110389
699837eb248b769c4311039d,"H. Pylori (Stomach Bacteria) Kit",3,699837eb248b769c43110397
699837ec248b769c431103a9,"Hepatitis B (HBsAg) Rapid Card.",3,699837eb248b769c43110397
699837ed248b769c431103bb,"Full Page Magnifying Sheets.",3,699837ec248b769c431103af
699837ed248b769c431103c1,"Strength +1.00 to +3.50",3,699837ed248b769c431103be
699837ee248b769c431103d0,"Sun-Readers.",3,699837ed248b769c431103be
699837ef248b769c431103de,"Book Holders/Stands.",3,699837ee248b769c431103d3
699837f2248b769c43110408,"BP Monitor with Arrhythmia Detection.",3,699837f0248b769c431103e4
699837f3248b769c43110423,"Wireless EKG Patch.",3,699837f2248b769c4311040b
699837f5248b769c43110444,"Oximeter Carrying Case & Lanyard.",3,699837f4248b769c43110426
699837f7248b769c43110468,"Disposable Thermometer Strips.",3,699837f5248b769c43110447
699837f9248b769c43110489,"Talking Weight Scale.",3,699837f8248b769c4311046b
699837fb248b769c431104a1,"Toothache Relief Gel/Liquid.",3,699837f9248b769c4311048c
699837fd248b769c431104cb,"Posture Corrector (Shoulder Brace).",3,699837fb248b769c431104aa
699837ff248b769c431104e3,"Retainer Cleaning Tablets.",3,699837fd248b769c431104ce
699837ff248b769c431104f0,"Bed Backrests (Adjustable).",3,699837ff248b769c431104e6
69983802248b769c4311051a,"Post-Op Knee Immobilizer.",3,69983800248b769c431104f3
69983803248b769c43110538,"Magnetic Neck Wrap.",3,69983802248b769c4311051d
69983804248b769c43110547,"Leg Elevation Wedges.",3,69983803248b769c4311053b
